usn,sub_prod_name,x_pos,y_pos,wafer_id,prod_name
SY00-000,mdsim_PX1,1,2,W0PXA,mdsim_SY1
SY00-001,mdsim_PX1,2,-2,W1PXA,mdsim_SY1
SY00-002,mdsim_PX1,-2,-1,W3PXA,mdsim_SY1
SY00-003,mdsim_PX1,2,1,W3PXA,mdsim_SY1
SY00-004,mdsim_PX1,-1,2,W2PXA,mdsim_SY1
SY00-005,mdsim_PX1,2,-1,W0PXA,mdsim_SY1
SY00-006,mdsim_PX1,-2,-2,W3PXA,mdsim_SY1
SY00-007,mdsim_PX1,2,0,W0PXA,mdsim_SY1
SY00-008,mdsim_PX1,0,-2,W4PXA,mdsim_SY1
SY00-009,mdsim_PX1,-2,2,W3PXA,mdsim_SY1
SY00-010,mdsim_PX1,2,-1,W4PXA,mdsim_SY1
SY00-011,mdsim_PX1,1,1,W0PXA,mdsim_SY1
SY00-012,mdsim_PX1,2,2,W2PXA,mdsim_SY1
SY00-013,mdsim_PX1,-2,-1,W4PXA,mdsim_SY1
SY00-014,mdsim_PX1,-2,2,W2PXA,mdsim_SY1
SY00-015,mdsim_PX1,-2,-2,W2PXA,mdsim_SY1
SY00-016,mdsim_PX1,-1,2,W3PXA,mdsim_SY1
SY00-017,mdsim_PX1,0,-1,W4PXA,mdsim_SY1
SY00-018,mdsim_PX1,-2,-2,W1PXA,mdsim_SY1
SY00-019,mdsim_PX1,1,-1,W0PXA,mdsim_SY1
SY00-020,mdsim_PX1,-2,2,W1PXA,mdsim_SY1
SY00-021,mdsim_PX1,-2,0,W1PXA,mdsim_SY1
SY00-022,mdsim_PX1,1,0,W3PXA,mdsim_SY1
SY00-023,mdsim_PX1,-1,-1,W1PXA,mdsim_SY1
SY00-024,mdsim_PX1,0,-2,W1PXA,mdsim_SY1
SY00-025,mdsim_PX1,-1,-2,W1PXA,mdsim_SY1
SY00-026,mdsim_PX1,0,-1,W2PXA,mdsim_SY1
SY00-027,mdsim_PX1,2,0,W1PXA,mdsim_SY1
SY00-028,mdsim_PX1,1,-2,W3PXA,mdsim_SY1
SY00-029,mdsim_PX1,-1,1,W0PXA,mdsim_SY1
SY00-030,mdsim_PX1,0,-2,W0PXA,mdsim_SY1
SY00-031,mdsim_PX1,-2,-1,W1PXA,mdsim_SY1
SY00-032,mdsim_PX1,1,-1,W1PXA,mdsim_SY1
SY00-033,mdsim_PX1,-1,-1,W0PXA,mdsim_SY1
SY00-034,mdsim_PX1,2,1,W4PXA,mdsim_SY1
SY00-035,mdsim_PX1,1,1,W3PXA,mdsim_SY1
SY00-036,mdsim_PX1,2,1,W0PXA,mdsim_SY1
SY00-037,mdsim_PX1,-1,2,W0PXA,mdsim_SY1
SY00-038,mdsim_PX1,0,0,W1PXA,mdsim_SY1
SY00-039,mdsim_PX1,1,0,W4PXA,mdsim_SY1
SY00-040,mdsim_PX1,-1,-2,W3PXA,mdsim_SY1
SY00-041,mdsim_PX1,0,2,W0PXA,mdsim_SY1
SY00-042,mdsim_PX1,0,0,W0PXA,mdsim_SY1
SY00-043,mdsim_PX1,-2,-1,W2PXA,mdsim_SY1
SY00-044,mdsim_PX1,-2,0,W4PXA,mdsim_SY1
SY00-045,mdsim_PX1,2,0,W2PXA,mdsim_SY1
SY00-046,mdsim_PX1,2,0,W3PXA,mdsim_SY1
SY00-047,mdsim_PX1,-2,2,W4PXA,mdsim_SY1
SY00-048,mdsim_PX1,1,-1,W2PXA,mdsim_SY1
SY00-049,mdsim_PX1,-2,1,W0PXA,mdsim_SY1
SY00-050,mdsim_PX1,-1,0,W4PXA,mdsim_SY1
SY00-051,mdsim_PX1,0,0,W4PXA,mdsim_SY1
SY00-052,mdsim_PX1,0,0,W3PXA,mdsim_SY1
SY00-053,mdsim_PX1,2,2,W0PXA,mdsim_SY1
SY00-054,mdsim_PX1,-1,-2,W0PXA,mdsim_SY1
SY00-055,mdsim_PX1,1,0,W0PXA,mdsim_SY1
SY00-056,mdsim_PX1,1,0,W1PXA,mdsim_SY1
SY00-057,mdsim_PX1,-2,1,W4PXA,mdsim_SY1
SY00-058,mdsim_PX1,-2,1,W2PXA,mdsim_SY1
SY00-059,mdsim_PX1,1,-1,W4PXA,mdsim_SY1
SY00-060,mdsim_PX1,2,-2,W2PXA,mdsim_SY1
SY00-061,mdsim_PX1,2,2,W4PXA,mdsim_SY1
SY00-062,mdsim_PX1,1,2,W3PXA,mdsim_SY1
SY00-063,mdsim_PX1,1,2,W4PXA,mdsim_SY1
SY00-064,mdsim_PX1,-2,1,W3PXA,mdsim_SY1
SY00-065,mdsim_PX1,2,-2,W0PXA,mdsim_SY1
SY00-066,mdsim_PX1,0,2,W3PXA,mdsim_SY1
SY00-067,mdsim_PX1,-2,2,W0PXA,mdsim_SY1
SY00-068,mdsim_PX1,0,2,W1PXA,mdsim_SY1
SY00-069,mdsim_PX1,-1,2,W4PXA,mdsim_SY1
SY00-070,mdsim_PX1,-1,-2,W2PXA,mdsim_SY1
SY00-071,mdsim_PX1,0,2,W2PXA,mdsim_SY1
SY00-072,mdsim_PX1,0,1,W2PXA,mdsim_SY1
SY00-073,mdsim_PX1,-1,0,W0PXA,mdsim_SY1
SY00-074,mdsim_PX1,2,-1,W1PXA,mdsim_SY1
SY00-075,mdsim_PX1,-1,-1,W2PXA,mdsim_SY1
SY00-076,mdsim_PX1,0,-2,W2PXA,mdsim_SY1
SY00-077,mdsim_PX1,-2,-2,W0PXA,mdsim_SY1
SY00-078,mdsim_PX1,2,0,W4PXA,mdsim_SY1
SY00-079,mdsim_PX1,-2,1,W1PXA,mdsim_SY1
SY00-080,mdsim_PX1,-2,0,W0PXA,mdsim_SY1
SY00-081,mdsim_PX1,1,1,W2PXA,mdsim_SY1
SY00-082,mdsim_PX1,1,1,W1PXA,mdsim_SY1
SY00-083,mdsim_PX1,-1,1,W3PXA,mdsim_SY1
SY00-084,mdsim_PX1,-1,1,W1PXA,mdsim_SY1
SY00-085,mdsim_PX1,2,-2,W4PXA,mdsim_SY1
SY00-086,mdsim_PX1,-1,0,W2PXA,mdsim_SY1
SY00-087,mdsim_PX1,-1,1,W2PXA,mdsim_SY1
SY00-088,mdsim_PX1,-1,0,W1PXA,mdsim_SY1
SY00-089,mdsim_PX1,1,2,W2PXA,mdsim_SY1
SY00-090,mdsim_PX1,1,-2,W0PXA,mdsim_SY1
SY00-091,mdsim_PX1,1,-2,W4PXA,mdsim_SY1
SY00-092,mdsim_PX1,-1,0,W3PXA,mdsim_SY1
SY00-093,mdsim_PX1,2,2,W3PXA,mdsim_SY1
SY00-094,mdsim_PX1,-1,-1,W3PXA,mdsim_SY1
SY00-095,mdsim_PX1,-2,-1,W0PXA,mdsim_SY1
SY00-096,mdsim_PX1,0,-2,W3PXA,mdsim_SY1
SY00-097,mdsim_PX1,2,-2,W3PXA,mdsim_SY1
SY00-098,mdsim_PX1,1,0,W2PXA,mdsim_SY1
SY00-099,mdsim_PX1,2,-1,W3PXA,mdsim_SY1
SY00-100,mdsim_PX1,0,-1,W0PXA,mdsim_SY1
SY00-101,mdsim_PX1,0,1,W3PXA,mdsim_SY1
SY00-102,mdsim_PX1,0,1,W1PXA,mdsim_SY1
SY00-103,mdsim_PX1,1,-2,W2PXA,mdsim_SY1
SY00-104,mdsim_PX1,1,2,W1PXA,mdsim_SY1
SY00-105,mdsim_PX1,-1,1,W4PXA,mdsim_SY1
SY00-106,mdsim_PX1,0,-1,W1PXA,mdsim_SY1
SY00-107,mdsim_PX1,-1,-2,W4PXA,mdsim_SY1
SY00-108,mdsim_PX1,-2,0,W3PXA,mdsim_SY1
SY00-109,mdsim_PX1,0,0,W2PXA,mdsim_SY1
