parameter,value,ul_valid,ll_valid,spec_ll,spec_ul,unit,run_start_ts,run_end_ts,param_start_ts,param_end_ts,process_step,in_spec,prod_name,wafer_id,x_pos,y_pos
PXF_THK_ADJ,0.8978772526417828,True,True,0.05,9.95,nm,1646092800,1646094754,1646092800,1646092854,,True,mdsim_PX2V2,W0PXBE,0,0
CRP_EN_DRV,3.1064496031437248,True,True,0.1,9.9,W,1646092800,1646094754,1646092881,1646093480,,True,mdsim_PX2V2,W0PXBE,0,0
CRP_SYN_DRV,2.6530490665507944,True,True,0.0,5.0,arbitrary process unit,1646092800,1646094754,1646093540,1646094540,,True,mdsim_PX2V2,W0PXBE,0,0
PST_CYC_TIM,1.1790679746798816,True,True,0.0,2.0,min,1646092800,1646094754,1646094574,1646094694,,True,mdsim_PX2V2,W0PXBE,0,0
Bond_ZOffset,-0.0177212104189045,True,True,-0.06,0.06,µm,1646092800,1646094754,1646094714,1646094739,,True,mdsim_PX2V2,W0PXBE,0,0
MXR_RGH_SCAN,0.637982226956958,True,True,0.05,0.65,µm Ra,1646092800,1646094754,1646092854,1646092881,,True,mdsim_PX2V2,W0PXBE,0,0
CRM_DIM_CHK,2.89206609110692,True,True,1.0,8.0,µm,1646092800,1646094754,1646093480,1646093540,,True,mdsim_PX2V2,W0PXBE,0,0
CRM_DIM_P2,2.097745560613467,True,True,0.25,3.5,µm,1646092800,1646094754,1646094540,1646094574,,True,mdsim_PX2V2,W0PXBE,0,0
PST_DIM_OUT,1.529632267333172,False,True,0.2,1.0,µm,1646092800,1646094754,1646094694,1646094714,,False,mdsim_PX2V2,W0PXBE,0,0
PXF_THK_ADJ,0.6552800293538964,True,True,0.05,9.95,nm,1646092800,1646094754,1646092800,1646092854,,True,mdsim_PX2V2,W0PXBE,1,0
CRP_EN_DRV,0.815386327117863,True,True,0.1,9.9,W,1646092800,1646094754,1646092881,1646093480,,True,mdsim_PX2V2,W0PXBE,1,0
CRP_SYN_DRV,1.6629982851735012,True,True,0.0,5.0,arbitrary process unit,1646092800,1646094754,1646093540,1646094540,,True,mdsim_PX2V2,W0PXBE,1,0
PST_CYC_TIM,0.9847932833291692,True,True,0.0,2.0,min,1646092800,1646094754,1646094574,1646094694,,True,mdsim_PX2V2,W0PXBE,1,0
Bond_ZOffset,-0.0527318517406989,True,True,-0.06,0.06,µm,1646092800,1646094754,1646094714,1646094739,,True,mdsim_PX2V2,W0PXBE,1,0
MXR_RGH_SCAN,0.4146846631859977,True,True,0.05,0.65,µm Ra,1646092800,1646094754,1646092854,1646092881,,True,mdsim_PX2V2,W0PXBE,1,0
CRM_DIM_CHK,0.943704801846455,True,False,1.0,8.0,µm,1646092800,1646094754,1646093480,1646093540,,False,mdsim_PX2V2,W0PXBE,1,0
CRM_DIM_P2,1.3042242132703692,True,True,0.25,3.5,µm,1646092800,1646094754,1646094540,1646094574,,True,mdsim_PX2V2,W0PXBE,1,0
PST_DIM_OUT,1.2158401612108725,False,True,0.2,1.0,µm,1646092800,1646094754,1646094694,1646094714,,False,mdsim_PX2V2,W0PXBE,1,0
PXF_THK_ADJ,0.1254308471233674,True,True,0.05,9.95,nm,1646092800,1646094754,1646092800,1646092854,,True,mdsim_PX2V2,W0PXBE,2,0
CRP_EN_DRV,8.340822178158803,True,True,0.1,9.9,W,1646092800,1646094754,1646092881,1646093480,,True,mdsim_PX2V2,W0PXBE,2,0
CRP_SYN_DRV,3.6026756203028256,True,True,0.0,5.0,arbitrary process unit,1646092800,1646094754,1646093540,1646094540,,True,mdsim_PX2V2,W0PXBE,2,0
PST_CYC_TIM,0.6263162124350559,True,True,0.0,2.0,min,1646092800,1646094754,1646094574,1646094694,,True,mdsim_PX2V2,W0PXBE,2,0
Bond_ZOffset,-0.0296057123528471,True,True,-0.06,0.06,µm,1646092800,1646094754,1646094714,1646094739,,True,mdsim_PX2V2,W0PXBE,2,0
MXR_RGH_SCAN,0.0804432576080939,True,True,0.05,0.65,µm Ra,1646092800,1646094754,1646092854,1646092881,,True,mdsim_PX2V2,W0PXBE,2,0
CRM_DIM_CHK,6.736470448613134,True,True,1.0,8.0,µm,1646092800,1646094754,1646093480,1646093540,,True,mdsim_PX2V2,W0PXBE,2,0
CRM_DIM_P2,2.562745558744548,True,True,0.25,3.5,µm,1646092800,1646094754,1646094540,1646094574,,True,mdsim_PX2V2,W0PXBE,2,0
PST_DIM_OUT,1.2672001782810882,False,True,0.2,1.0,µm,1646092800,1646094754,1646094694,1646094714,,False,mdsim_PX2V2,W0PXBE,2,0
PXF_THK_ADJ,0.269476669277026,True,True,0.05,9.95,nm,1646092800,1646094754,1646092800,1646092854,,True,mdsim_PX2V2,W0PXBE,3,0
CRP_EN_DRV,4.599710175553602,True,True,0.1,9.9,W,1646092800,1646094754,1646092881,1646093480,,True,mdsim_PX2V2,W0PXBE,3,0
CRP_SYN_DRV,4.025401147681036,True,True,0.0,5.0,arbitrary process unit,1646092800,1646094754,1646093540,1646094540,,True,mdsim_PX2V2,W0PXBE,3,0
